day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2025-10-01,吉宗,937,5224,2060,13,8,248.8,401.8,653.0
2025-10-01,吉宗,938,6537,7232,23,11,192.3,284.2,594.3
2025-10-01,吉宗,939,6911,6405,23,10,209.4,300.5,691.1
2025-10-01,吉宗,940,5761,-877,10,9,303.2,576.1,640.1
2025-10-01,吉宗,941,3172,-1653,4,3,453.1,793.0,1057.3
2025-10-01,吉宗,942,2839,3786,11,2,218.4,258.1,1419.5
2025-10-01,革命機ヴァルヴレイヴ,747,1770,-446,10,2,147.5,177.0,885.0
2025-10-01,革命機ヴァルヴレイヴ,748,4456,-1711,29,3,139.2,153.7,1485.3
2025-10-01,革命機ヴァルヴレイヴ,749,3198,-3205,7,5,266.5,456.9,639.6
2025-10-01,革命機ヴァルヴレイヴ,750,3541,6439,73,1,47.9,48.5,3541.0
2025-10-01,革命機ヴァルヴレイヴ,751,8280,-4433,41,8,169.0,202.0,1035.0
2025-10-01,革命機ヴァルヴレイヴ,752,4283,-1495,27,4,138.2,158.6,1070.8
2025-10-01,革命機ヴァルヴレイヴ,753,5090,5582,84,8,55.3,60.6,636.2
2025-10-01,革命機ヴァルヴレイヴ,754,5495,591,51,6,96.4,107.7,915.8
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,957,6883,-1025,18,23,167.9,382.4,299.3
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,958,9564,1910,37,25,154.3,258.5,382.6
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,959,4129,-2492,8,7,275.3,516.1,589.9
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,960,3805,-1840,9,5,271.8,422.8,761.0
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,961,10359,392,34,27,169.8,304.7,383.7
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,962,9769,2119,37,21,168.4,264.0,465.2
2025-10-01,ヱヴァンゲリヲン ～約束の扉～,963,7053,478,25,10,201.5,282.1,705.3
2025-10-01,ミスタージャグラー,1021,6089,-2062,16,18,179.1,380.6,338.3
2025-10-01,ミスタージャグラー,1022,6021,1938,31,16,128.1,194.2,376.3
2025-10-01,ミスタージャグラー,1023,7577,1362,35,23,130.6,216.5,329.4
2025-10-01,ミスタージャグラー,1024,4950,-1767,15,8,215.2,330.0,618.8
2025-10-01,ミスタージャグラー,1025,5674,-984,21,13,166.9,270.2,436.5
2025-10-01,ミスタージャグラー,1026,5780,-1070,20,10,192.7,289.0,578.0
2025-10-01,沖ドキ!GOLD,907,1780,-419,8,6,127.1,222.5,296.7
2025-10-01,沖ドキ!GOLD,908,2109,151,13,8,100.4,162.2,263.6
2025-10-01,沖ドキ!GOLD,909,359,1310,6,7,27.6,59.8,51.3
2025-10-01,沖ドキ!GOLD,910,934,1588,13,4,54.9,71.8,233.5
2025-10-01,沖ドキ!GOLD,911,492,1836,12,3,32.8,41.0,164.0
2025-10-01,沖ドキ!GOLD,912,2908,-3441,4,3,415.4,727.0,969.3
2025-10-01,アズールレーン THE ANIMATION,930,4177,294,63,27,46.4,66.3,154.7
2025-10-01,アズールレーン THE ANIMATION,931,5381,4422,122,33,34.7,44.1,163.1
2025-10-01,アズールレーン THE ANIMATION,932,5959,-1246,69,35,57.3,86.4,170.3
2025-10-01,アズールレーン THE ANIMATION,933,2653,-2870,10,13,115.3,265.3,204.1
2025-10-01,アズールレーン THE ANIMATION,934,5145,-5500,32,19,100.9,160.8,270.8
2025-10-01,ウルトラミラクルジャグラー,1016,8243,968,32,35,123.0,257.6,235.5
2025-10-01,ウルトラミラクルジャグラー,1017,3974,-2375,7,7,283.9,567.7,567.7
2025-10-01,ウルトラミラクルジャグラー,1018,5226,-452,20,11,168.6,261.3,475.1
2025-10-01,ウルトラミラクルジャグラー,1019,5164,114,23,10,156.5,224.5,516.4
2025-10-01,ウルトラミラクルジャグラー,1020,7307,-131,27,19,158.8,270.6,384.6
2025-10-01,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,926,7116,696,26,17,165.5,273.7,418.6
2025-10-01,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,927,7566,-486,24,25,154.4,315.2,302.6
2025-10-01,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,928,3769,-1209,10,9,198.4,376.9,418.8
2025-10-01,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,929,7368,88,24,23,156.8,307.0,320.3
2025-10-01,ジャグラーガールズ,1012,4670,-712,15,12,173.0,311.3,389.2
2025-10-01,ジャグラーガールズ,1013,7967,956,33,24,139.8,241.4,332.0
2025-10-01,ジャグラーガールズ,1014,4636,-174,16,18,136.4,289.8,257.6
2025-10-01,ジャグラーガールズ,1015,6323,1725,31,20,124.0,204.0,316.1
2025-10-01,スマスロ ドルアーガの塔,949,2759,-2361,4,4,344.9,689.8,689.8
2025-10-01,スマスロ ドルアーガの塔,950,2817,-1343,6,8,201.2,469.5,352.1
2025-10-01,スマスロ ドルアーガの塔,951,3471,-2156,5,13,192.8,694.2,267.0
2025-10-01,スマスロ ドルアーガの塔,952,3128,-1152,8,7,208.5,391.0,446.9
2025-10-01,戦国乙女4 戦乱に閃く炯眼の軍師,859,2389,-627,12,7,125.7,199.1,341.3
2025-10-01,戦国乙女4 戦乱に閃く炯眼の軍師,864,1617,-1726,3,2,323.4,539.0,808.5
2025-10-01,戦国乙女4 戦乱に閃く炯眼の軍師,874,2853,-2465,9,5,203.8,317.0,570.6
2025-10-01,戦国乙女4 戦乱に閃く炯眼の軍師,884,2668,-813,12,6,148.2,222.3,444.7
2025-10-01,ToLOVEるダークネス TRANCE ver.8.7,850,3366,-2547,18,10,120.2,187.0,336.6
